DATA	Preço
8203	0,00
8204	3097,50
8205	140,00
8206	0,00
8207	99,00
8208	18,00
8209	0,00
8210	35,00
8211	35,00
8212	0,00
8213	0,00
8214	0,00
8215	0,00
8216	339,00
8217	0,00
8218	7,00
8219	8,00
8220	0,00
8221	0,00
8222	136,26
8223	163,65
8224	375,26
8225	93,00
8226	93,00
8227	93,00
8228	149,00
8229	149,00
8230	149,00
8231	234,00
8232	22,23
8233	22,23
8234	22,23
8235	22,23
8236	22,23
8237	22,23
8238	5,88
8239	5,88
8240	5,88
8241	5,88
8242	5,88
8243	5,88
8244	25,72
8245	25,72
8246	5,88
8247	25,72
8248	25,72
8249	25,72
8250	0,00
8251	0,00
8252	87,06
8253	4,36
8254	0,00
8255	30,55
8256	153,99
8257	299,84
8258	0,00
8259	0,75
8260	17,50
8261	17,50
8262	0,00
8263	8,15
8264	5,36
8265	4,70
8266	17,35
8267	39,61
8268	69,09
8269	51,14
8270	2,86
8271	2,86
8272	13,18
8273	0,58
8274	50,85
8275	10,88
8276	1,04
8277	8,06
8278	7,19
8280	0,00
8281	0,00
8282	6,22
8283	0,00
8284	0,00
8285	0,00
8286	0,00
8287	3,98
8288	0,00
8289	49,90
8290	1,82
8291	6,50
8292	8,48
8293	14,00
8294	72000,00
8295	0,00
8296	40,00
8297	43,00
8298	44,00
8299	46,80
8300	43,00
8301	40,00
8302	43,00
8303	54,20
8304	43,00
8305	43,00
8306	40,00
8307	40,00
8308	40,00
8309	40,00
8310	43,00
8311	43,00
8312	43,00
8313	46,80
8314	46,80
8315	44,00
8316	44,00
8317	44,00
8318	43,00
8319	43,00
8320	40,00
8321	40,00
8322	40,00
8323	20,00
8324	33,00
8325	0,00
8326	0,00
8327	0,00
8328	0,00
8329	0,00
8330	0,00
8331	0,00
8332	0,00
8333	0,00
8334	676,32
8335	153,99
8336	639,70
8337	87,06
8338	237,50
8339	29,32
8340	28,46
8341	319,90
8342	360,00
8343	1006,26
8344	450,00
8345	0,00
8346	39,00
8347	10,00
8348	226,00
8349	1,05
8350	11,50
8351	8,90
8352	0,00
8353	0,00
8354	0,00
8355	0,00
8356	0,00
8357	0,00
8358	128,00
8359	0,00
8360	0,00
8361	0,00
8362	0,00
8363	0,00
8364	0,00
8365	0,00
8366	0,00
8367	0,00
8368	0,00
8369	0,00
8370	0,00
8371	134,90
8372	0,00
8373	134,90
8374	0,00
8375	0,00
8376	140,00
8377	0,00
8378	153,90
8379	0,00
8380	0,00
8381	0,00
8382	0,00
8383	0,00
8384	0,00
8386	0,00
8387	0,00
8388	0,00
8389	0,00
8390	0,00
8391	139,00
8392	0,00
8393	44,00
8394	0,00
8395	0,00
8396	135,00
8397	120,00
8398	11,20
8399	15,40
8400	168,00
8401	320,00
8402	48,00
8403	60,00
8404	60,00
8405	60,00
8406	113,40
8407	27,00
8408	11,49
8409	476,64
8410	299,00
8411	1,34
8412	17,90
8413	23,80
8414	20,00
8415	980,00
8416	0,00
8417	420,00
8418	0,00
8419	0,00
8420	170,00
8421	265,00
8422	175,00
8423	370,30
8424	175,00
8425	138,00
8426	285,00
8427	13,00
8428	138,00
8429	138,00
8430	83,30
8431	85,00
8432	0,00
8433	0,00
8434	0,00
8435	29,35
8436	8,67
8437	29,96
8438	93,48
8439	4,43
8440	2,98
8441	1,92
8442	4,78
8443	64,19
8444	0,86
8445	0,23
8446	0,00
8447	18,00
8448	105,19
8449	10,00
8450	10,00
